Education,Marital_Status,Income,Recency,Complain,Age,Engaged_Days,Kids,Expenses,TotalAcceptedCampaign,NumTotalPurchases
0,1,58138.0,58,0,57,971,0,1617,1,25
0,1,46344.0,38,0,60,125,2,27,0,6
0,0,71613.0,26,0,49,472,0,776,0,21
0,0,26646.0,26,0,30,65,1,53,0,8
0,0,58293.0,94,0,33,321,1,422,0,19
0,0,62513.0,16,0,47,453,1,716,0,22
0,1,55635.0,34,0,43,753,1,590,0,21
0,0,33454.0,32,0,29,488,1,169,0,10
0,0,30351.0,19,0,40,548,1,46,1,6
0,0,5648.0,68,0,64,268,2,49,1,2
1,0,7500.0,59,0,38,753,0,61,0,6
0,1,63033.0,82,0,55,386,0,1102,0,16
0,1,59354.0,53,0,62,386,2,310,0,15
0,0,17323.0,38,0,27,787,0,46,0,5
0,1,82800.0,23,0,68,742,0,1315,3,26
0,0,41850.0,51,0,34,712,2,96,0,9
0,0,37760.0,20,0,68,827,0,317,0,13
0,0,76995.0,91,0,65,618,1,1782,1,26
0,1,33812.0,86,0,29,1000,1,133,0,8
0,0,37040.0,41,0,32,850,0,316,0,12
0,0,2447.0,42,0,35,553,1,1730,0,43
0,0,58607.0,63,0,65,713,1,972,1,17
0,0,65324.0,0,0,60,35,1,544,0,20
0,0,40689.0,69,0,63,628,1,444,0,20
0,1,18589.0,89,0,45,673,0,75,0,8
0,0,53359.0,4,0,38,558,2,257,0,14
0,0,38360.0,26,0,25,554,1,131,0,9
0,0,84618.0,96,0,49,379,0,1672,1,26
0,1,10979.0,34,0,25,198,0,30,0,8
0,0,38620.0,56,0,51,396,0,318,0,11
0,0,40548.0,31,0,44,787,1,120,1,9
0,1,46610.0,8,0,62,768,2,302,1,17
0,0,68657.0,4,0,68,654,0,1196,0,18
0,1,49389.0,55,0,63,464,2,65,0,6
0,0,67353.0,37,0,44,340,1,913,0,28
0,0,23718.0,76,0,38,665,1,81,0,9
0,1,42429.0,99,0,41,34,1,67,0,7
0,1,48948.0,53,0,71,703,0,902,2,24
0,0,80011.0,3,0,34,586,1,1395,0,21
0,0,20559.0,88,0,29,368,1,53,0,7
0,0,21994.0,4,0,57,712,1,22,0,4
0,0,7500.0,19,0,39,664,1,31,0,8
0,1,79941.0,72,0,38,161,0,984,0,16
0,0,7500.0,24,0,18,816,0,122,1,10
0,0,41728.0,92,0,46,561,1,55,0,5
0,0,72550.0,39,0,60,847,2,1319,0,28
0,1,65486.0,29,0,57,1,1,507,0,17
0,0,79143.0,2,0,50,758,0,1693,0,29
0,1,35790.0,54,0,37,673,1,72,0,7
0,1,82582.0,54,0,37,153,0,1617,3,21
0,0,66373.0,57,0,36,365,2,606,0,23
0,0,82384.0,55,0,59,747,0,1957,2,27
0,1,70287.0,30,0,48,670,0,1093,1,21
0,1,27938.0,31,0,26,222,1,29,0,6
0,0,55954.0,63,0,46,278,1,518,0,19
0,1,75777.0,12,0,32,608,0,1438,3,21
0,0,66653.0,18,0,39,880,2,612,0,22
0,1,61823.0,26,0,62,656,1,884,0,24
0,1,67680.0,8,0,63,395,1,606,0,19
0,0,70666.0,29,0,66,542,0,1076,0,16
0,0,25721.0,75,0,43,564,1,34,1,5
0,0,32474.0,0,0,47,31,2,11,0,4
0,1,88194.0,19,0,35,262,1,1274,3,32
0,0,69096.0,4,0,56,435,1,653,0,18
0,0,74854.0,90,0,44,489,3,1562,0,19
0,0,66991.0,1,0,60,757,0,1253,0,21
0,0,65031.0,29,0,55,629,1,863,0,30
0,0,60631.0,88,0,39,581,2,661,1,24
0,0,28332.0,58,0,62,220,0,65,0,8
0,1,40246.0,68,0,37,717,1,13,0,4
0,0,75251.0,34,0,42,831,0,1890,1,19
0,1,75825.0,40,0,38,726,0,2209,2,22
0,0,26326.0,12,1,38,606,0,18,0,4
0,0,56046.0,9,0,49,673,0,692,2,21
0,1,29760.0,87,0,29,829,1,165,0,12
0,0,26304.0,5,0,45,531,1,16,0,4
0,0,23559.0,87,0,41,639,1,79,0,9
0,0,38620.0,56,0,51,396,0,318,0,11
0,1,81361.0,18,0,27,284,0,778,0,27
0,0,29440.0,95,0,54,393,2,56,0,7
0,0,36138.0,48,0,44,508,2,151,1,13
0,1,50388.0,3,0,57,192,1,372,3,17
0,0,79593.0,70,0,41,1,0,1366,1,19
0,0,54178.0,79,0,47,319,1,194,0,10
0,1,42394.0,69,0,42,258,1,32,0,5
0,0,23626.0,84,0,44,196,1,43,0,10
0,0,30096.0,30,0,31,198,1,45,0,6
0,1,47916.0,72,0,54,744,1,606,1,22
0,1,51813.0,37,0,42,397,2,63,0,7
0,0,78497.0,44,0,63,693,0,978,1,25
0,0,50150.0,32,0,31,534,0,410,0,16
0,1,47823.0,0,0,54,501,1,72,0,7
0,1,34554.0,43,0,55,251,1,55,0,7
0,0,85693.0,59,0,35,595,1,1169,0,27
0,0,65846.0,68,0,69,568,0,1120,0,16
0,0,87195.0,35,0,55,123,0,1097,1,20
1,0,24594.0,94,0,35,420,1,29,0,5
0,0,49096.0,15,0,50,438,2,187,0,13
0,0,52413.0,56,0,45,672,2,910,0,26
0,1,38557.0,17,0,36,717,1,145,0,9
0,0,89058.0,18,0,54,877,0,850,0,14
0,0,77298.0,46,0,35,663,1,969,0,24
0,1,68126.0,40,0,23,786,0,1820,2,17
0,0,57288.0,27,0,51,164,1,608,1,20
0,1,86037.0,95,0,23,673,0,730,3,25
0,0,43974.0,19,0,34,724,1,551,0,21
0,1,50785.0,27,0,52,423,2,114,0,8
0,0,90765.0,25,0,44,316,0,1724,2,15
0,0,36550.0,74,0,36,655,1,577,0,20
0,0,30753.0,85,0,47,394,2,81,0,7
0,0,21918.0,37,0,45,387,1,33,0,7
0,0,56129.0,65,0,61,534,1,660,0,22
0,1,32557.0,13,0,47,285,1,80,1,9
0,0,19510.0,63,0,29,606,2,30,0,6
0,1,30992.0,83,0,38,593,1,43,0,5
0,1,101970.0,69,0,31,368,0,1135,4,27
0,0,71488.0,87,0,49,656,0,559,0,16
0,1,79607.0,37,0,30,594,0,1923,1,16
0,0,54348.0,51,0,61,122,2,90,0,8
0,0,77376.0,72,0,58,62,2,661,0,23
0,0,62998.0,10,0,62,432,1,463,0,19
0,1,61331.0,42,0,56,429,2,632,0,23
0,0,73448.0,10,0,45,65,0,725,0,19
0,0,41551.0,51,0,50,479,2,279,0,16
0,0,62981.0,21,0,47,629,0,1482,1,23
1,1,9548.0,31,0,38,850,1,29,0,6
0,0,33762.0,61,0,55,517,3,106,0,9
0,1,35860.0,37,0,41,201,2,49,2,6
0,1,36921.0,74,0,49,496,2,38,0,7
0,1,92859.0,46,0,22,778,0,2077,0,22
0,0,65104.0,4,0,38,387,1,1053,1,17
0,0,86111.0,73,0,52,596,0,1385,0,23
0,1,68352.0,47,0,40,465,1,871,0,25
0,0,41883.0,13,0,26,627,1,312,0,12
0,0,59809.0,36,0,38,779,2,877,0,15
0,0,23957.0,47,0,39,769,1,68,1,6
0,0,38547.0,49,1,33,465,1,22,0,4
0,0,35688.0,94,0,41,836,3,211,0,16
0,0,49605.0,65,0,48,168,0,127,0,8
0,0,59354.0,59,0,61,226,2,459,0,16
0,0,65747.0,96,0,45,156,1,460,1,19
0,0,46344.0,28,0,42,722,1,429,0,17
0,1,34176.0,12,0,26,1,1,89,0,11
0,0,61010.0,57,0,62,817,1,1021,0,26
0,0,69372.0,10,0,65,655,0,1381,3,21
0,1,49967.0,4,0,56,486,1,306,0,15
0,1,60199.0,49,0,36,362,3,18,0,4
0,0,55375.0,3,0,37,415,1,162,0,9
0,1,80317.0,64,0,59,473,0,1231,0,18
0,1,30523.0,0,0,56,698,3,13,0,4
0,0,70356.0,20,0,69,939,0,1706,0,27
0,0,23228.0,91,0,30,219,1,121,0,11
0,1,74165.0,9,0,39,700,0,1293,0,20
0,0,157243.0,98,0,41,337,1,1608,0,37
0,0,43482.0,83,0,48,388,3,88,0,9
0,1,62551.0,27,0,61,383,0,421,1,18
0,1,52332.0,63,0,55,465,0,259,1,12
0,1,66951.0,46,0,26,663,0,1117,0,15
0,0,26091.0,84,0,57,284,2,89,0,9
0,0,33456.0,58,0,49,229,2,36,0,6
0,0,28718.0,78,0,32,511,1,57,0,7
0,0,50447.0,4,0,44,229,2,148,0,8
0,0,53537.0,17,0,55,310,2,93,0,8
0,1,52074.0,77,0,47,246,1,119,1,7
0,0,80427.0,56,0,39,727,1,1835,0,28
0,0,83837.0,79,0,66,720,0,1318,3,25
0,0,38853.0,90,0,44,197,2,45,0,7
0,0,38285.0,96,0,55,165,3,10,0,4
0,0,78497.0,44,0,63,693,0,978,1,25
0,0,51650.0,81,0,38,31,1,191,0,10
0,0,16248.0,77,0,26,62,1,57,0,9
0,0,66835.0,21,0,68,434,0,1033,0,24
0,0,30477.0,16,0,30,318,1,66,0,6
1,0,28249.0,80,0,53,174,0,43,0,6
0,0,25271.0,45,0,31,938,1,50,0,5
0,1,32303.0,63,0,44,125,1,39,0,7
0,0,61286.0,34,0,48,666,1,608,0,18
0,0,74068.0,14,0,38,627,0,1581,0,24
0,0,45759.0,13,0,50,651,2,68,0,7
1,0,24882.0,52,0,36,818,1,80,1,5
0,0,66973.0,98,0,25,568,0,1282,0,28
0,0,38872.0,93,0,26,555,1,91,0,8
0,0,51148.0,38,0,41,656,2,315,0,16
0,0,31353.0,24,0,37,342,2,31,0,6
0,0,69661.0,80,0,34,207,0,834,0,23
0,0,80067.0,82,0,60,443,0,1600,1,17
0,0,86718.0,20,0,60,688,0,1270,0,17
0,1,46854.0,81,0,41,250,2,263,2,15
0,1,69142.0,50,0,62,160,1,535,1,19
0,1,75922.0,60,0,46,450,0,1295,0,18
0,1,63693.0,63,0,36,418,1,1150,0,29
0,0,102160.0,54,0,37,1029,0,1240,4,26
0,1,40637.0,72,0,49,507,2,38,0,6
0,1,18890.0,5,0,30,786,0,35,2,4
0,0,29604.0,88,0,26,481,1,53,1,5
0,1,48721.0,50,0,51,572,2,293,0,17
0,0,44794.0,99,0,48,122,1,65,0,6
0,1,64497.0,17,0,60,788,1,1804,2,29
0,0,46097.0,11,0,58,615,1,241,0,15
0,0,77972.0,18,0,60,263,0,1101,0,20
0,0,44377.0,70,0,46,940,2,264,0,19
0,0,46014.0,21,0,40,684,2,541,0,26
0,0,70951.0,66,0,29,610,0,1198,0,17
0,0,41443.0,79,0,37,336,1,482,0,20
0,1,52195.0,2,0,36,1,3,17,0,4
0,0,83790.0,81,0,66,386,0,1615,2,25
0,1,44551.0,24,0,60,462,1,285,0,12
0,0,69508.0,48,0,34,752,1,1135,0,28
0,0,45204.0,93,0,26,32,1,114,0,7
0,0,72460.0,56,0,45,387,0,1047,0,16
0,0,77622.0,3,0,44,236,2,714,0,22
0,0,30732.0,44,0,34,584,1,185,0,13
0,1,63887.0,38,0,52,849,1,1245,0,32
0,0,42011.0,46,0,36,620,1,189,0,12
0,0,51369.0,84,0,38,772,1,576,0,16
0,1,51537.0,27,0,62,815,1,1103,0,18
0,0,79930.0,72,0,42,850,0,1753,0,17
0,0,34320.0,66,0,28,293,1,17,0,4
0,1,37070.0,30,0,48,626,2,433,1,23
0,1,81975.0,2,0,52,584,1,1588,1,14
0,0,38590.0,65,0,43,570,1,22,0,4
0,1,15033.0,37,0,63,234,0,19,0,5
0,0,62745.0,89,0,49,623,1,1117,0,29
0,0,22212.0,49,0,39,450,1,69,0,8
0,0,23661.0,46,0,32,603,1,23,0,5
0,1,79761.0,32,0,56,605,1,605,0,19
0,1,7500.0,54,0,41,345,1,57,0,11
0,1,73455.0,98,0,46,404,0,2088,1,22
0,0,64961.0,97,0,56,713,1,1009,0,16
0,1,22804.0,75,0,43,493,1,26,0,5
0,0,73687.0,8,0,24,373,0,1627,2,22
0,0,61074.0,37,0,56,841,1,1102,0,31
0,0,31686.0,31,0,50,214,2,17,0,6
0,0,80134.0,40,0,42,565,1,1690,4,16
0,0,75027.0,74,0,61,461,1,1390,0,21
0,0,67546.0,90,0,26,827,0,2126,0,20
0,0,65176.0,57,0,45,768,1,1531,0,25
0,1,31160.0,59,0,39,446,1,64,0,7
0,1,29938.0,52,0,29,405,1,26,0,6
0,1,102692.0,5,0,40,581,0,1112,5,29
0,0,26490.0,92,0,56,805,0,210,0,11
0,0,75702.0,77,0,47,829,2,1148,0,26
0,1,30899.0,35,0,40,784,1,33,0,6
0,0,63342.0,48,0,53,781,1,1101,1,19
0,1,45989.0,97,0,50,775,1,322,0,16
0,1,18701.0,95,0,50,609,2,44,0,10
0,1,40737.0,24,0,57,481,3,17,0,4
0,1,15287.0,60,0,35,787,1,31,2,6
0,1,69674.0,46,0,46,563,2,845,0,25
0,0,44159.0,85,0,44,172,1,275,0,15
0,0,37717.0,31,0,36,743,1,25,0,4
0,0,43776.0,9,0,62,644,2,275,1,17
0,0,38179.0,30,0,48,632,2,90,0,11
0,0,80124.0,47,0,51,163,0,1495,1,19
0,0,38097.0,70,0,44,782,2,184,2,11
0,0,72940.0,13,0,44,535,0,981,0,13
0,0,22070.0,11,0,44,605,1,67,0,8
0,1,69267.0,31,0,61,805,0,1635,1,14
0,1,31788.0,15,1,31,261,1,60,0,10
0,0,61905.0,2,0,39,248,1,231,0,12
0,0,29315.0,55,0,54,185,2,48,0,10
0,1,33378.0,38,0,51,552,2,99,0,9
0,0,66313.0,86,0,51,446,1,770,0,23
0,1,60714.0,56,0,58,688,0,957,1,23
0,0,77882.0,29,0,33,220,0,818,0,12
0,1,69867.0,30,0,28,670,0,925,2,17
0,1,63841.0,64,0,46,594,1,908,0,22
1,0,24480.0,46,0,33,399,1,102,0,10
0,0,51369.0,84,0,38,772,1,576,0,16
0,0,37760.0,20,0,68,827,0,317,0,13
0,0,65640.0,74,0,40,337,1,461,0,15
0,0,44319.0,18,0,39,233,2,37,0,7
0,0,30631.0,75,0,40,364,1,70,0,7
0,0,75278.0,17,0,62,676,0,930,0,23
0,0,50898.0,88,0,58,492,2,859,0,33
0,1,79946.0,19,0,48,1,0,1478,0,22
0,1,35416.0,62,0,65,541,0,390,0,16
0,0,32414.0,11,0,30,608,0,52,1,5
0,0,38361.0,74,0,45,344,1,137,0,10
0,0,82497.0,32,0,34,766,0,1919,1,19
0,0,16626.0,76,0,43,325,2,68,0,9
0,0,29672.0,6,0,49,368,2,25,0,4
0,0,55951.0,62,0,62,835,1,1374,2,23
0,1,35388.0,20,0,26,521,1,32,0,5
0,0,42386.0,43,0,28,692,1,100,0,7
0,1,68627.0,45,0,32,370,0,825,0,12
0,1,57912.0,34,0,49,264,1,916,1,28
0,1,35246.0,53,0,56,234,2,62,0,11
0,0,58821.0,44,0,58,361,1,728,0,21
0,0,46377.0,89,0,36,337,1,90,0,7
0,1,39747.0,43,0,26,237,1,273,0,13
0,0,23976.0,68,0,30,344,1,66,0,10
0,0,80950.0,44,0,53,618,0,1213,1,23
0,1,27038.0,64,0,48,809,0,107,1,7
0,1,77457.0,85,0,67,217,0,1157,1,18
0,0,64100.0,93,0,50,423,1,546,1,18
0,0,42670.0,12,0,22,588,0,241,0,11
0,1,12571.0,86,0,38,322,1,53,0,11
0,0,22574.0,28,0,47,404,3,37,0,7
0,1,70893.0,42,0,38,552,0,1508,0,23
0,0,54198.0,13,0,48,354,2,235,0,16
0,0,28839.0,86,0,58,33,2,32,0,7
0,0,40321.0,59,0,42,495,2,102,0,8
0,1,66503.0,30,0,29,844,1,401,0,15
0,0,30833.0,33,0,63,508,2,28,0,6
0,0,64795.0,23,0,43,688,1,680,0,21
0,0,34421.0,81,0,40,698,1,30,0,4
0,1,47025.0,6,0,49,95,2,20,0,4
0,1,64325.0,41,0,53,522,1,1307,0,23
0,1,40464.0,78,0,61,400,1,630,0,24
0,0,62187.0,49,0,57,578,0,1283,0,18
0,1,14849.0,39,0,38,667,1,65,0,9
0,0,27255.0,3,0,30,513,1,37,0,5
0,0,54432.0,37,0,64,457,3,38,0,5
0,1,29999.0,22,0,28,661,1,160,0,12
0,1,24072.0,79,0,31,599,1,23,0,4
0,1,33996.0,46,0,25,392,0,71,0,6
0,0,66334.0,82,0,58,642,1,1161,1,19
0,0,35178.0,10,0,43,431,1,59,2,5
0,0,22010.0,51,0,31,524,1,33,0,7
0,1,62204.0,38,0,54,727,2,946,0,22
0,1,75693.0,10,0,46,907,0,1442,4,22
0,0,30675.0,14,0,42,725,1,62,0,5
0,0,83003.0,18,0,49,643,0,1674,2,22
0,1,68655.0,95,0,26,789,0,1538,0,21
0,1,41411.0,11,0,28,512,0,139,0,8
0,0,55212.0,65,0,45,743,1,1182,2,20
0,0,59292.0,71,0,64,541,1,507,0,18
1,0,27190.0,13,0,41,478,1,18,2,4
0,1,82623.0,58,0,62,421,0,940,0,16
0,0,44300.0,65,0,49,531,2,42,0,6
0,1,84835.0,0,0,44,173,0,1190,1,15
0,1,30372.0,33,0,43,711,2,44,0,8
0,0,33181.0,90,0,38,280,1,16,1,4
0,0,71113.0,95,0,57,354,1,835,0,26
0,0,71952.0,93,0,28,431,1,1443,2,22
0,1,69759.0,38,0,48,404,0,1029,1,18
0,0,72099.0,18,0,40,770,0,1188,0,18
0,1,60000.0,57,0,38,714,1,1277,0,24
0,1,38643.0,45,1,36,372,2,49,0,7
0,0,50737.0,61,0,59,396,1,99,1,7
0,0,68462.0,6,0,45,724,0,1670,0,15
0,0,65073.0,65,1,71,473,0,900,0,14
0,0,46681.0,52,0,66,483,2,425,0,16
0,0,78618.0,87,0,57,799,0,2153,1,22
0,1,62187.0,38,0,45,259,1,636,0,21
0,0,28442.0,53,0,36,285,2,57,0,10
0,0,37717.0,31,0,36,743,1,25,0,4
0,0,51479.0,67,0,47,708,2,494,0,22
0,1,54803.0,65,0,45,837,1,693,0,19
0,0,79530.0,64,0,54,568,0,1348,0,26
0,1,31615.0,82,0,38,630,1,51,0,7
0,0,72025.0,27,0,52,749,0,1932,0,16
0,1,52614.0,63,0,39,1059,1,990,0,16
0,0,35684.0,66,0,30,228,1,30,0,5
0,0,48178.0,69,0,39,769,2,254,0,16
0,1,29548.0,52,0,44,464,1,29,1,5
0,1,63810.0,45,0,48,755,1,1371,1,23
0,1,38578.0,2,0,42,532,2,73,1,9
0,1,46098.0,86,0,39,840,2,120,0,11
0,1,22585.0,23,0,44,628,0,81,2,5
0,1,30279.0,13,0,25,706,1,37,0,5
0,0,66426.0,14,0,53,664,1,1377,0,20
0,1,30822.0,92,0,45,540,1,51,0,5
0,0,33581.0,38,0,45,492,2,17,0,4
0,0,19986.0,74,0,29,387,1,22,0,4
0,1,27421.0,14,0,60,724,0,324,0,14
0,0,35688.0,94,0,41,836,3,211,0,16
0,1,36143.0,33,0,33,251,1,19,0,4
0,1,10245.0,32,0,43,570,1,41,0,8
0,0,43795.0,11,0,46,416,1,492,2,17
0,0,63381.0,78,0,54,940,1,1005,0,26
0,0,38823.0,56,0,65,828,1,114,0,7
0,1,83664.0,57,0,46,488,2,1173,0,19
0,0,90300.0,7,0,35,280,0,1738,1,19
0,0,62499.0,0,0,35,450,1,222,0,12
0,1,74293.0,66,0,21,245,0,1127,0,16
0,0,51012.0,86,0,68,597,0,209,0,10
0,0,70777.0,80,0,46,284,1,787,0,23
0,0,68682.0,56,0,23,544,0,1598,0,24
0,0,43824.0,18,0,43,812,2,186,0,12
0,0,15345.0,51,0,30,827,1,47,1,6
0,1,23442.0,71,0,27,712,1,27,0,5
0,0,14515.0,71,0,34,816,1,96,1,11
0,1,31395.0,80,0,58,623,2,64,0,10
0,0,75276.0,2,0,49,800,0,1040,0,23
0,1,42373.0,83,0,40,478,2,163,0,13
0,0,30507.0,29,0,54,398,0,343,0,11
0,1,55521.0,11,0,59,410,3,446,2,24
0,0,48006.0,55,0,49,91,2,41,0,5
0,1,27213.0,19,0,42,828,1,70,1,9
0,1,65808.0,1,0,43,190,2,272,0,14
0,0,30351.0,19,0,40,548,1,46,0,6
0,0,50437.0,28,0,51,780,2,490,0,19
0,1,23616.0,76,0,32,749,1,79,1,8
0,0,53858.0,50,0,38,816,1,915,0,17
0,0,66465.0,1,0,59,616,1,1485,1,35
0,1,46923.0,90,0,27,836,1,369,0,16
0,0,75072.0,83,0,52,682,1,1073,0,19
0,0,75865.0,73,0,71,250,0,1242,0,19
0,0,19789.0,24,0,39,381,1,78,1,9
0,0,80134.0,11,0,20,295,0,1378,4,21
0,1,91065.0,33,0,33,652,0,1474,3,26
0,0,49505.0,4,0,43,582,2,751,0,29
0,0,37401.0,14,0,41,184,1,48,0,7
0,0,30096.0,30,0,31,198,1,45,0,6
0,0,18492.0,75,0,32,214,1,10,0,4
0,0,82584.0,26,0,40,609,0,1435,3,16
0,0,93027.0,77,0,73,602,0,2119,1,22
0,0,48686.0,8,0,61,603,3,20,0,4
0,0,92910.0,42,0,28,226,0,1795,3,27
0,0,75433.0,28,0,25,216,1,1188,2,19
0,0,10404.0,52,0,25,245,1,43,0,7
0,0,61314.0,1,0,46,590,1,1008,0,24
0,1,84865.0,1,0,53,457,0,1688,5,16
0,0,42387.0,42,0,25,768,1,684,0,21
0,0,67309.0,76,0,47,682,2,1082,0,39
0,0,75236.0,27,0,50,376,1,1068,0,25
0,1,30015.0,28,0,44,307,1,57,0,7
0,0,50943.0,49,0,58,533,1,46,0,5
0,1,67272.0,12,0,48,350,1,733,0,23
0,1,51529.0,14,0,65,515,1,467,0,17
0,0,32011.0,89,0,43,471,1,122,0,10
0,0,7500.0,96,0,28,522,1,36,0,7
0,0,28691.0,56,0,25,608,1,34,0,5
0,0,56223.0,72,0,66,351,1,156,0,10
0,0,18100.0,14,0,68,546,0,14,0,4
0,1,30279.0,13,0,25,706,1,37,0,5
0,0,20130.0,99,0,40,264,0,34,0,5
0,1,23295.0,72,0,55,511,0,20,0,4
0,1,42618.0,92,0,42,452,1,192,0,11
0,1,81246.0,87,0,50,342,0,1379,2,17
0,0,24027.0,7,0,38,456,1,48,0,7
0,0,55707.0,91,0,61,349,1,428,0,16
0,1,57959.0,71,0,59,669,1,868,0,27
0,0,56796.0,24,0,45,658,1,1001,0,27
0,1,36230.0,17,0,43,415,1,59,0,7
0,0,70829.0,87,0,34,693,2,431,0,16
0,0,65991.0,21,0,38,880,1,971,0,27
0,0,38988.0,90,0,42,838,3,348,0,19
